budget_per_class,labeled_runs,pct_of_dev_labels,seed,fold,arm,F1macro,RootAlarmChrono,RootAlarmKB,RootAlarm_n
2,42,0.5,5,4,cnn,0.10156484470393949,,,0
2,42,0.5,5,4,lookup,0.1445125047983812,0.2963709677419355,0.39852150537634407,1488
2,42,0.5,5,4,proposed,0.26875455879203003,0.2963709677419355,0.39314516129032256,1488
2,42,0.5,17,0,cnn,0.13560640525190082,,,0
2,42,0.5,17,0,lookup,0.12850292747269357,0.2773333333333333,0.3953333333333333,1500
2,42,0.5,17,0,proposed,0.21511227484103235,0.2773333333333333,0.38666666666666666,1500
2,42,0.5,17,1,cnn,0.1421683380856219,,,0
2,42,0.5,17,1,lookup,0.13010568034675274,0.27436582109479307,0.3951935914552737,1498
2,42,0.5,17,1,proposed,0.2607771257189306,0.27436582109479307,0.41321762349799734,1498
2,42,0.5,17,2,cnn,0.10133467758395188,,,0
2,42,0.5,17,2,lookup,0.10653018150352865,0.19919786096256684,0.37967914438502676,1496
2,42,0.5,17,2,proposed,0.2581738932216494,0.19919786096256684,0.4692513368983957,1496
2,42,0.5,17,3,cnn,0.17289446051307952,,,0
2,42,0.5,17,3,lookup,0.13656639482486646,0.25150100066711145,0.4056037358238826,1499
2,42,0.5,17,3,proposed,0.16034613537412795,0.25150100066711145,0.39426284189459637,1499
2,42,0.5,17,4,cnn,0.13320501863327228,,,0
2,42,0.5,17,4,lookup,0.12917373457131529,0.25553319919517103,0.39101274312541917,1491
2,42,0.5,17,4,proposed,0.2079005857509603,0.25553319919517103,0.4305835010060362,1491
2,42,0.5,42,0,cnn,0.12257739449492694,,,0
2,42,0.5,42,0,lookup,0.1265715840008581,0.29325317301269205,0.48430193720774883,1497
2,42,0.5,42,0,proposed,0.14314966567093018,0.29325317301269205,0.39011356045424184,1497
2,42,0.5,42,1,cnn,0.12734579587608613,,,0
2,42,0.5,42,1,lookup,0.08648286868105386,0.20733333333333334,0.43533333333333335,1500
2,42,0.5,42,1,proposed,0.11257870605482083,0.20733333333333334,0.38866666666666666,1500
2,42,0.5,42,2,cnn,0.24854886053078323,,,0
2,42,0.5,42,2,lookup,0.2574059845129649,0.2076101468624833,0.5433911882510013,1498
2,42,0.5,42,2,proposed,0.2581247919791425,0.20533333333333334,0.404,1500
2,42,0.5,42,3,cnn,0.3435298939858769,,,0
2,42,0.5,42,3,lookup,0.35790928900493163,0.22296395193591456,0.5233644859813084,1498
2,42,0.5,42,3,proposed,0.3609573879369468,0.23780895123580495,0.353373413493654,1497
2,42,0.5,42,4,cnn,0.3627854148039266,,,0
2,42,0.5,42,4,lookup,0.3590919203911951,0.18733333333333332,0.506,1500
2,42,0.5,42,4,proposed,0.36641355756530186,0.16221628838451266,0.3651535380507343,1498
5,105,1.25,5,0,cnn,0.28644638186595583,,,0
5,105,1.25,5,0,lookup,0.2845051834165271,0.3314646110721794,0.5564120532585844,1427
5,105,1.25,5,0,proposed,0.29014245319814536,0.3090399439383322,0.36790469516468116,1427
5,105,1.25,5,1,cnn,0.4045592829201312,,,0
5,105,1.25,5,1,lookup,0.42085242204157697,0.3113854595336077,0.593278463648834,1458
5,105,1.25,5,1,proposed,0.4180686126798524,0.2887517146776406,0.37037037037037035,1458
5,105,1.25,5,2,cnn,0.2701167348972115,,,0
5,105,1.25,5,2,lookup,0.2646550253157801,0.27630685675492195,0.5342837746096402,1473
5,105,1.25,5,2,proposed,0.2740588474853576,0.28445349626612354,0.3625254582484725,1473
5,105,1.25,5,3,cnn,0.40040765735584777,,,0
5,105,1.25,5,3,lookup,0.3892260352717189,0.291044776119403,0.582089552238806,1474
5,105,1.25,5,3,proposed,0.386992921164524,0.27611940298507465,0.3677069199457259,1474
5,105,1.25,5,4,cnn,0.37970524421247753,,,0
5,105,1.25,5,4,lookup,0.3705397636546876,0.36174636174636177,0.5606375606375607,1443
5,105,1.25,5,4,proposed,0.37046676866717254,0.36224843858431643,0.3566967383761277,1441
5,105,1.25,17,0,cnn,0.41657944549095693,,,0
5,105,1.25,17,0,lookup,0.4238913697784357,0.3707627118644068,0.5939265536723164,1416
5,105,1.25,17,0,proposed,0.4265461557375518,0.37606837606837606,0.4373219373219373,1404
5,105,1.25,17,1,cnn,0.2549907221048936,,,0
